"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"NCT00348283"|"Canada"|"Abbott"|"Crohn's Disease"|"Adalimumab"
"NCT00349219"|"Canada"|"National Cancer Institute, Naples"|"Advanced Non-Small Cell Lung Cancer"|"Cisplatin"
"NCT00349219"|"Canada"|"National Cancer Institute, Naples"|"Advanced Non-Small Cell Lung Cancer"|"Erlotinib"
"NCT00349219"|"Canada"|"National Cancer Institute, Naples"|"Advanced Non-Small Cell Lung Cancer"|"Gemcitabine"
"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Arthritis, Reactive"|"Azithromycin"
"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Arthritis, Reactive"|"Methyl aminolevulinate"
"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Reiter Disease"|"Azithromycin"
"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Reiter Disease"|"Methyl aminolevulinate"
"NCT00352534"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Docetaxel"
"NCT00352534"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Vinblastine"
"NCT00352781"|"Canada"|"Centre for Addiction and Mental Health"|"Smoking"|"Varenicline"
"NCT00353262"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Avastin"
"NCT00353262"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Oxaliplatin"
"NCT00354354"|"Canada"|"Queen's University"|"Chronic Obstructive Pulmonary Disease"|"Budesonide"
"NCT00354835"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Carboplatin"
"NCT00354835"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"NCT00354835"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Paclitaxel"
"NCT00355849"|"Canada"|"Eli Lilly and Company"|"Diabetes Mellitus, Type 2"|"Insulin glargine"
"NCT00356681"|"Canada"|"Amgen"|"Breast Cancer"|"Bevacizumab"
"NCT00356681"|"Canada"|"Amgen"|"Breast Neoplasms"|"Bevacizumab"
"NCT00356681"|"Canada"|"Amgen"|"Breast Tumors"|"Bevacizumab"
"NCT00356681"|"Canada"|"Amgen"|"Locally Recurrent and Metastatic Breast Cancer"|"Bevacizumab"
"NCT00357903"|"Canada"|"Amgen"|"Rheumatoid Arthritis"|"Etanercept"
"NCT00358995"|"Canada"|"University of British Columbia"|"Obsessive Compulsive Disorder"|"Pentoxifylline"
"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cetuximab"
"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Mucositis"|"Cetuximab"
"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Pain"|"Cetuximab"
"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Cetuximab"
"NCT00362232"|"Canada"|"Bayer"|"Venous Thromboembolism"|"Darbepoetin alfa"
"NCT00362752"|"Canada"|"St. Michael's Hospital, Toronto"|"Hepatopulmonary Syndrome"|"Norfloxacin"
"NCT00362882"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Cytarabine"
"NCT00364013"|"Canada"|"Amgen"|"Metastatic Colorectal Cancer"|"ABX-EGF"
"NCT00364351"|"Canada"|"AstraZeneca"|"Non Small Cell Lung Cancer"|"Candesartan"
"NCT00366015"|"Canada"|"Lawson Health Research Institute"|"Coronary Artery Disease"|"Rivastigmine"
"NCT00370604"|"Canada"|"Sunnybrook Health Sciences Centre"|"Post-Dural Puncture Headache"|"Cisplatin"
"NCT00371033"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Chronic Prostatitis/Chronic Pelvic Pain Syndrome (CP/CPPS)"|"Mitoxantrone"
"NCT00372437"|"Canada"|"MethylGene Inc."|"Tumors"|"Gemcitabine"
"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclosporine"
"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Etoposide"
"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Irinotecan Hydrochloride"
"NCT00372762"|"Canada"|"Lawson Health Research Institute"|"Heart Failure"|"Bumetanide"
"NCT00372762"|"Canada"|"Lawson Health Research Institute"|"Heart Failure"|"Furosemide"
"NCT00372892"|"Canada"|"McMaster University"|"Purpura, Thrombocytopenic, Idiopathic"|"Rituximab"
"NCT00373113"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Capecitabine"
"NCT00373113"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Sunitinib malate"
"NCT00376701"|"Canada"|"Lawson Health Research Institute"|"Age Related Macular Degeneration"|"Avastin"
"NCT00376701"|"Canada"|"Lawson Health Research Institute"|"Age Related Macular Degeneration"|"Bevacizumab"
"NCT00376701"|"Canada"|"Lawson Health Research Institute"|"Age Related Macular Degeneration"|"Triamcinolone"
"NCT00377637"|"Canada"|"Hoffmann-La Roche"|"Lupus Nephritis"|"Azathioprine"
"NCT00377637"|"Canada"|"Hoffmann-La Roche"|"Lupus Nephritis"|"Cyclophosphamide"
"NCT00377819"|"Canada"|"Amgen"|"Postmenopausal Osteoporosis"|"Alendronate"
"NCT00380068"|"Canada"|"Gilead Sciences"|"Pulmonary Hypertension"|"Simvastatin"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Asparaginase"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Etoposide"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Prednisolone"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vincristine Sulfate"
"NCT00382109"|"Canada"|"National Cancer Institute (NCI)"|"Graft Versus Host Disease"|"Melphalan"
"NCT00382109"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Melphalan"
"NCT00383422"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Raloxifene"
"NCT00384046"|"Canada"|"Procter and Gamble"|"Hypoactive Sexual Desire Disorder"|"Testosterone"
"NCT00384176"|"Canada"|"AstraZeneca"|"Colorectal Cancer"|"Leucovorin"
"NCT00384176"|"Canada"|"AstraZeneca"|"Colorectal Cancer"|"Oxaliplatin"
"NCT00385736"|"Canada"|"Abbott"|"Ulcerative Colitis"|"Adalimumab"
"NCT00391092"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Docetaxel"
"NCT00391248"|"Canada"|"Ontario Clinical Oncology Group (OCOG)"|"Non-small Cell Lung Cancer"|"Erlotinib"
"NCT00391872"|"Canada"|"AstraZeneca"|"Acute Coronary Syndrome"|"Tamoxifen"
"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Imatinib Mesylate"
"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Dexamethasone"
"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Melphalan"
"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Tamoxifen Citrate"
"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"NCT00393939"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Sunitinib"
"NCT00393939"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Taxotere"
"NCT00394277"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Copegus"
"NCT00394953"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Epoetin alfa"
"NCT00400595"|"Canada"|"University Health Network, Toronto"|"Peritoneal Dialysis"|"Mecamylamine"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cisplatin"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cytarabine"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Dexamethasone"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Docetaxel"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Irinotecan Hydrochloride"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Memantine Hydrochloride"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Methotrexate"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Panitumumab"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Vinblastine"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cytarabine"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dexamethasone"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Irinotecan Hydrochloride"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methotrexate"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Panitumumab"
"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"NCT00402428"|"Canada"|"Human Genome Sciences"|"Chronic Hepatitis C"|"Peginterferon alfa-2a"
"NCT00403767"|"Canada"|"Bayer"|"Atrial Fibrillation"|"Warfarin"
"NCT00403767"|"Canada"|"Bayer"|"Stroke"|"Warfarin"
"NCT00405665"|"Canada"|"The Hospital for Sick Children"|"Cystic Fibrosis"|"Epoetin alfa"
"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Nicotine Dependence"|"Rifampin"
"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Psychosis"|"Rifampin"
"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Schizoaffective Disorder"|"Rifampin"
"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Schizophrenia"|"Rifampin"
"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Schizophreniform Disorders"|"Rifampin"
"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Smoking"|"Rifampin"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Bleomycin"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Granisetron hydrochloride"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Melphalan"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Octreotide acetate"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Thalidomide"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vorinostat"
"NCT00408408"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Cisplatin"
"NCT00408408"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Docetaxel"
"NCT00408408"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Fulvestrant"
"NCT00408629"|"Canada"|"Abbott"|"Ulcerative Colitis"|"Adalimumab"
"NCT00409682"|"Canada"|"Abbott"|"Crohn's Disease"|"Adalimumab"
"NCT00409682"|"Canada"|"Abbott"|"Crohn's Disease"|"Topotecan"
"NCT00410384"|"Canada"|"Human Genome Sciences"|"Systemic Lupus Erythematosus"|"Fludarabine"
"NCT00410514"|"Canada"|"Astellas Pharma Inc"|"Bladder Outlet Obstruction"|"Pemetrexed"
"NCT00410514"|"Canada"|"Astellas Pharma Inc"|"Lower Urinary Tract Symptoms"|"Pemetrexed"
"NCT00411385"|"Canada"|"Human Genome Sciences"|"Chronic Hepatitis C"|"Peginterferon alfa-2a"
"NCT00412984"|"Canada"|"Bristol-Myers Squibb"|"Atrial Fibrillation"|"Warfarin"
"NCT00412984"|"Canada"|"Bristol-Myers Squibb"|"Atrial Flutter"|"Warfarin"
"NCT00413036"|"Canada"|"Celgene Corporation"|"Lymphoma, Non-Hodgkin's"|"Calcitriol"
"NCT00413036"|"Canada"|"Celgene Corporation"|"Lymphoma, Non-Hodgkin's"|"Lenalidomide"
"NCT00414609"|"Canada"|"Novartis"|"Myocardial Infarction"|"Aliskiren"
"NCT00414648"|"Canada"|"Office of Rare Diseases (ORD)"|"Lymphangioleiomyomatosis"|"Sirolimus"
"NCT00417079"|"Canada"|"Sanofi-Aventis"|"Neoplasms"|"Doxorubicin"
"NCT00417079"|"Canada"|"Sanofi-Aventis"|"Prostatic Neoplasms"|"Doxorubicin"
"NCT00417209"|"Canada"|"Sanofi-Aventis"|"Pancreatic Neoplasms"|"IL-2"
"NCT00418925"|"Canada"|"University Health Network, Toronto"|"Cervical Dystonia"|"Dronabinol"
"NCT00420784"|"Canada"|"Vertex Pharmaceuticals Incorporated"|"Hepatitis C"|"solifenacin succinate"
"NCT00423228"|"Canada"|"Debiopharm S.A."|"Moderate Alzheimer's Disease"|"Control"
"NCT00426777"|"Canada"|"CMX Research"|"Prostate Cancer"|"Risedronate"
"NCT00428025"|"Canada"|"Queen's University"|"Pancreatitis"|"Diclofenac"
"NCT00428948"|"Canada"|"Otsuka Pharmaceutical Development & Commercialization, Inc."|"Polycystic Kidney Disease"|"Tolterodine"
"NCT00429364"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Marfan Syndrome"|"Atenolol"
"NCT00429364"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Marfan Syndrome"|"Losartan"
"NCT00430183"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Cyclophosphamide"
"NCT00430183"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"NCT00430183"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Fulvestrant"
"NCT00430495"|"Canada"|"EMD Serono"|"Rheumatoid Arthritis"|"Azacitidine"
"NCT00431041"|"Canada"|"Astellas Pharma Inc"|"Overactive Bladder"|"Mycophenolate mofetil"
"NCT00431041"|"Canada"|"Astellas Pharma Inc"|"Overactive Bladder"|"Prednisone"
"NCT00431353"|"Canada"|"Hoffmann-La Roche"|"Cytomegalovirus Infections"|"Ganciclovir"
"NCT00435409"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Capecitabine"
"NCT00435929"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Ritonavir"
"NCT00438828"|"Canada"|"Sunnybrook Health Sciences Centre"|"Cancer"|"Dexamethasone"
"NCT00439140"|"Canada"|"Allergan"|"Overactive Bladder"|"Botulinum Toxin Type A"
"NCT00440245"|"Canada"|"University of Saskatchewan"|"Asthma"|"Salbutamol"
"NCT00440245"|"Canada"|"University of Saskatchewan"|"COPD"|"Salbutamol"
"NCT00442702"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Darbepoetin alfa"
"NCT00443287"|"Canada"|"Sanofi-Aventis"|"Intermittent Claudication"|"Metformin"
"NCT00444470"|"Canada"|"University Health Network, Toronto"|"Spine Surgery"|"Tranexamic Acid"
"NCT00446381"|"Canada"|"Lawson Health Research Institute"|"Diabetic Macular Edema"|"Peginterferon alfa-2b"
"NCT00446381"|"Canada"|"Lawson Health Research Institute"|"Proliferative Diabetic Retinopathy"|"Peginterferon alfa-2b"
"NCT00450099"|"Canada"|"Samuel Lunenfeld Research Institute, Mount Sinai Hospital"|"Acute Pain"|"Bupivacaine"
"NCT00451620"|"Canada"|"University of British Columbia"|"Type 2 Diabetes"|"Adapalene"
"NCT00455000"|"Canada"|"Pfizer"|"Alzheimer's Disease"|"Lapatinib"
"NCT00456599"|"Canada"|"University of Michigan Cancer Center"|"Pancreatic Cancer"|"Gemcitabine"
"NCT00456599"|"Canada"|"University of Michigan Cancer Center"|"Pancreatic Cancer"|"Oxaliplatin"
"NCT00457392"|"Canada"|"Pfizer"|"Carcinoma, Non-Small Cell Lung"|"Sunitinib malate"
"NCT00457457"|"Canada"|"Pfizer"|"Prostatic Hyperplasia"|"Tamsulosin"
"NCT00457691"|"Canada"|"Pfizer"|"Colorectal Neoplasms"|"5 Fluorouracil"
"NCT00457691"|"Canada"|"Pfizer"|"Colorectal Neoplasms"|"Irinotecan"
"NCT00457691"|"Canada"|"Pfizer"|"Colorectal Neoplasms"|"Sunitinib"
"NCT00458055"|"Canada"|"McGill University Health Center"|"Coronary Arteriosclerosis"|"Atorvastatin"
"NCT00458055"|"Canada"|"McGill University Health Center"|"Genetic Diseases, Inborn"|"Atorvastatin"
"NCT00458055"|"Canada"|"McGill University Health Center"|"Hypoalphalipoproteinemias"|"Atorvastatin"
"NCT00461292"|"Canada"|"Allergan"|"Overactive Bladder"|"Botulinum Toxin Type A"
"NCT00462995"|"Canada"|"University Health Network, Toronto"|"Non Small Cell Lung Cancer"|"Erlotinib"
"NCT00463229"|"Canada"|"McMaster University"|"Stroke"|"Lamotrigine"
"NCT00464243"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"NCT00464646"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Breast Cancer"|"Cyclophosphamide"
"NCT00464646"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Breast Cancer"|"Docetaxel"
"NCT00465686"|"Canada"|"Bloorview Kids Rehab"|"Cerebral Palsy"|"Aspirin"
"NCT00468403"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Type 1 Diabetes Mellitus"|"Fluticasone Propionate"
"NCT00468728"|"Canada"|"Optimer Pharmaceuticals"|"Clostridium Infections"|"Risperidone"
"NCT00468728"|"Canada"|"Optimer Pharmaceuticals"|"Diarrhea"|"Risperidone"
"NCT00468936"|"Canada"|"McGill University Health Center"|"Heart Transplant Patients"|"Entecavir"
"NCT00471146"|"Canada"|"Pfizer"|"Carcinoma, Pancreatic Ductal"|"Trastuzumab"
"NCT00473590"|"Canada"|"Genentech"|"Multiple Myeloma"|"Bevacizumab"
"NCT00473590"|"Canada"|"Genentech"|"Multiple Myeloma"|"Paclitaxel"
"NCT00475670"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Tacrolimus"
"NCT00475852"|"Canada"|"Scios, Inc."|"Heart Decompensation"|"Nesiritide"
"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Cyclophosphamide"
"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Darbepoetin alfa"
"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Dexamethasone"
"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Doxorubicin"
"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Methotrexate"
"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Vincristine"
"NCT00480389"|"Canada"|"University Health Network, Toronto"|"Metastatic Disease"|"Darbepoetin alfa"
"NCT00480389"|"Canada"|"University Health Network, Toronto"|"Renal Cell Carcinoma"|"Darbepoetin alfa"
"NCT00482001"|"Canada"|"Sunnybrook Health Sciences Centre"|"Geriatrics"|"Donepezil"
"NCT00482001"|"Canada"|"Sunnybrook Health Sciences Centre"|"Mental Health"|"Donepezil"
"NCT00482092"|"Canada"|"Osiris Therapeutics"|"Crohn's Disease"|"Ranibizumab"
"NCT00482989"|"Canada"|"MedImmune LLC"|"Lupus"|"Propofol"
"NCT00483106"|"Canada"|"McGill University"|"ADHD"|"Ritalin"
"NCT00483314"|"Canada"|"McGill University Health Center"|"Homocystinuria"|"N-acetylcysteine"
"NCT00483743"|"Canada"|"Topigen Pharmaceuticals"|"COPD Patients"|"Budesonide"
"NCT00483834"|"Canada"|"University Health Network, Toronto"|"Colorectal Cancer"|"Bevacizumab"
"NCT00483834"|"Canada"|"University Health Network, Toronto"|"Colorectal Cancer"|"Capecitabine"
"NCT00483834"|"Canada"|"University Health Network, Toronto"|"Colorectal Cancer"|"Irinotecan"
"NCT00484536"|"Canada"|"UCB, Inc."|"Multiple Sclerosis"|"Fluoxetine"
"NCT00484939"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Xeloda"
"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Cyclophosphamide"
"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Doxorubicin"
"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Paclitaxel"
"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Prednisolone"
"NCT00486759"|"Canada"|"Hoffmann-La Roche"|"Lymphoma, B-Cell"|"Prednisone"
"NCT00487188"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Gemcitabine"
"NCT00488839"|"Canada"|"IMPAX Laboratories, Inc."|"Multiple Sclerosis"|"Baclofen"
"NCT00488839"|"Canada"|"IMPAX Laboratories, Inc."|"Multiple Sclerosis"|"Gabapentin"
"NCT00489177"|"Canada"|"University of Calgary"|"Heart Failure"|"Quetiapine"
"NCT00492284"|"Canada"|"QLT Inc"|"Choroidal Neovascularization"|"Lucentis"
"NCT00492284"|"Canada"|"QLT Inc"|"Macular Degeneration"|"Lucentis"
"NCT00495612"|"Canada"|"Genentech"|"Asthma"|"Omalizumab"
"NCT00496080"|"Canada"|"Ethicon, Inc."|"Menorrhagia"|"Quetiapine fumarate"
"NCT00496080"|"Canada"|"Ethicon, Inc."|"Uterine Fibroids"|"Quetiapine fumarate"
"NCT00496769"|"Canada"|"Bristol-Myers Squibb"|"Atrial Fibrillation"|"Aripiprazole"
"NCT00499473"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Sorafenib"
"NCT00499616"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Cisplatin"
"NCT00499616"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Docetaxel"
"NCT00500760"|"Canada"|"Amgen"|"Head and Neck Cancer"|"Cisplatin"
"NCT00500760"|"Canada"|"Amgen"|"Head and Neck Cancer"|"Panitumumab"
"NCT00500760"|"Canada"|"Amgen"|"Squamous Cell Carcinoma"|"Cisplatin"
"NCT00500760"|"Canada"|"Amgen"|"Squamous Cell Carcinoma"|"Panitumumab"
"NCT00501241"|"Canada"|"Procter and Gamble"|"Chronic Constipation"|"Tolterodine"
"NCT00502788"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Hepatitis C"|"Ribavirin"
"NCT00502788"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Thalassemia"|"Ribavirin"
"NCT00506298"|"Canada"|"CombinatoRx"|"Type 2 Diabetes"|"Bevacizumab"
"NCT00507936"|"Canada"|"Abbott"|"Diabetic Neuralgia"|"Duloxetine"
"NCT00507936"|"Canada"|"Abbott"|"Diabetic Neuropathies"|"Duloxetine"
"NCT00507936"|"Canada"|"Abbott"|"Diabetic Neuropathy, Painful"|"Duloxetine"
"NCT00507936"|"Canada"|"Abbott"|"Diabetic Polyneuropathy"|"Duloxetine"
"NCT00507936"|"Canada"|"Abbott"|"Neuralgia, Diabetic"|"Duloxetine"
"NCT00509197"|"Canada"|"University of Montreal"|"Non-Eosinophilic Asthma"|"Flurbiprofen Axetil"
"NCT00510250"|"Canada"|"University Health Network, Toronto"|"Cancer of the Cervix"|"Cisplatin"
"NCT00510250"|"Canada"|"University Health Network, Toronto"|"Cancer of the Cervix"|"Sorafenib"
"NCT00513305"|"Canada"|"Cephalon"|"Acute Myeloid Leukemia"|"Arsenic trioxide"
"NCT00513747"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Carboplatin"
"NCT00516295"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cisplatin"
"NCT00516295"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"NCT00517257"|"Canada"|"University of Toronto"|"Branch Retinal Vein Occlusion"|"Atorvastatin"
"NCT00517257"|"Canada"|"University of Toronto"|"Central Retinal Vein Occlusion"|"Atorvastatin"
"NCT00517257"|"Canada"|"University of Toronto"|"Retinal Vein Occlusion"|"Atorvastatin"
"NCT00517257"|"Canada"|"University of Toronto"|"Retinal Vein Thrombosis"|"Atorvastatin"
"NCT00517257"|"Canada"|"University of Toronto"|"Thrombosis"|"Atorvastatin"
"NCT00517439"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Copegus"
"NCT00517699"|"Canada"|"Hoffmann-La Roche"|"Lymphoma"|"Cytarabine"
"NCT00517699"|"Canada"|"Hoffmann-La Roche"|"Lymphoma"|"Methotrexate"
"NCT00518531"|"Canada"|"Amgen"|"Osteoporosis"|"Atomoxetine"
"NCT00518531"|"Canada"|"Amgen"|"Osteoporosis"|"Rituximab"
"NCT00519207"|"Canada"|"The Hospital for Sick Children"|"Pain"|"Lidocaine"
