"0"|"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"497"|"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Ifosfamide"
"498"|"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Vinblastine"
"499"|"NCT00335738"|"Canada"|"National Cancer Institute (NCI)"|"Retinoblastoma"|"Vinblastine"
"500"|"NCT00335816"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"501"|"NCT00335816"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"502"|"NCT00335816"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"503"|"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"504"|"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"505"|"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Irinotecan Hydrochloride"
"506"|"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Melphalan"
"507"|"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"508"|"NCT00336830"|"Canada"|"Lawson Health Research Institute"|"Coronary Disease"|"Infliximab"
"509"|"NCT00336830"|"Canada"|"Lawson Health Research Institute"|"Myocardial Infarction"|"Infliximab"
"510"|"NCT00336830"|"Canada"|"Lawson Health Research Institute"|"Unstable Angina"|"Infliximab"
"511"|"NCT00338130"|"Canada"|"AstraZeneca"|"Melanoma"|"Tamoxifen"
"512"|"NCT00340704"|"Canada"|"Astellas Pharma Inc"|"Bladder, Neurogenic"|"Tamsulosin"
"513"|"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Back Pain"|"Risedronate"
"514"|"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Back Pain"|"Teriparatide"
"515"|"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Risedronate"
"516"|"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Teriparatide"
"517"|"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Spinal Fracture"|"Risedronate"
"518"|"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Spinal Fracture"|"Teriparatide"
"519"|"NCT00345839"|"Canada"|"Amgen"|"Chronic Kidney Disease"|"Cinacalcet"
"520"|"NCT00345839"|"Canada"|"Amgen"|"Chronic Kidney Disease"|"Pindolol"
"521"|"NCT00345839"|"Canada"|"Amgen"|"Secondary Hyperparathyroidism"|"Cinacalcet"
"522"|"NCT00345839"|"Canada"|"Amgen"|"Secondary Hyperparathyroidism"|"Pindolol"
"523"|"NCT00346034"|"Canada"|"Pfizer"|"Fibromyalgia"|"Pregabalin"
"524"|"NCT00346164"|"Canada"|"National Cancer Institute (NCI)"|"Childhood Malignant Fibrous Histiocytoma of Bone"|"Docetaxel"
"525"|"NCT00346164"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"526"|"NCT00346216"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Celecoxib"
"527"|"NCT00346216"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Ibuprofen"
"528"|"NCT00346216"|"Canada"|"Pfizer"|"Osteoarthritis"|"Celecoxib"
"529"|"NCT00346216"|"Canada"|"Pfizer"|"Osteoarthritis"|"Ibuprofen"
"530"|"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Aripiprazole"
"531"|"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Olanzapine"
"532"|"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Quetiapine"
"533"|"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Risperidone"
"534"|"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Ziprasidone"
"535"|"NCT00348283"|"Canada"|"Abbott"|"Crohn's Disease"|"Adalimumab"
"536"|"NCT00349219"|"Canada"|"National Cancer Institute, Naples"|"Advanced Non-Small Cell Lung Cancer"|"Cisplatin"
"537"|"NCT00349219"|"Canada"|"National Cancer Institute, Naples"|"Advanced Non-Small Cell Lung Cancer"|"Erlotinib"
"538"|"NCT00349219"|"Canada"|"National Cancer Institute, Naples"|"Advanced Non-Small Cell Lung Cancer"|"Gemcitabine"
"539"|"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Arthritis, Reactive"|"Azithromycin"
"540"|"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Arthritis, Reactive"|"Methyl aminolevulinate"
"541"|"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Reiter Disease"|"Azithromycin"
"542"|"NCT00351273"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Reiter Disease"|"Methyl aminolevulinate"
"543"|"NCT00352534"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Docetaxel"
"544"|"NCT00352534"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Vinblastine"
"545"|"NCT00352781"|"Canada"|"Centre for Addiction and Mental Health"|"Smoking"|"Varenicline"
"546"|"NCT00353262"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Avastin"
"547"|"NCT00353262"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Oxaliplatin"
"548"|"NCT00354354"|"Canada"|"Queen's University"|"Chronic Obstructive Pulmonary Disease"|"Budesonide"
"549"|"NCT00354835"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Carboplatin"
"550"|"NCT00354835"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"551"|"NCT00354835"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Paclitaxel"
"552"|"NCT00355849"|"Canada"|"Eli Lilly and Company"|"Diabetes Mellitus, Type 2"|"Insulin glargine"
"553"|"NCT00356681"|"Canada"|"Amgen"|"Breast Cancer"|"Bevacizumab"
"554"|"NCT00356681"|"Canada"|"Amgen"|"Breast Neoplasms"|"Bevacizumab"
"555"|"NCT00356681"|"Canada"|"Amgen"|"Breast Tumors"|"Bevacizumab"
"556"|"NCT00356681"|"Canada"|"Amgen"|"Locally Recurrent and Metastatic Breast Cancer"|"Bevacizumab"
"557"|"NCT00357903"|"Canada"|"Amgen"|"Rheumatoid Arthritis"|"Etanercept"
"558"|"NCT00358995"|"Canada"|"University of British Columbia"|"Obsessive Compulsive Disorder"|"Pentoxifylline"
"559"|"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cetuximab"
"560"|"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Mucositis"|"Cetuximab"
"561"|"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Pain"|"Cetuximab"
"562"|"NCT00360971"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Cetuximab"
"563"|"NCT00362232"|"Canada"|"Bayer"|"Venous Thromboembolism"|"Darbepoetin alfa"
"564"|"NCT00362752"|"Canada"|"St. Michael's Hospital, Toronto"|"Hepatopulmonary Syndrome"|"Norfloxacin"
"565"|"NCT00362882"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Cytarabine"
"566"|"NCT00364013"|"Canada"|"Amgen"|"Metastatic Colorectal Cancer"|"ABX-EGF"
"567"|"NCT00364351"|"Canada"|"AstraZeneca"|"Non Small Cell Lung Cancer"|"Candesartan"
"568"|"NCT00366015"|"Canada"|"Lawson Health Research Institute"|"Coronary Artery Disease"|"Rivastigmine"
"569"|"NCT00370604"|"Canada"|"Sunnybrook Health Sciences Centre"|"Post-Dural Puncture Headache"|"Cisplatin"
"570"|"NCT00371033"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Chronic Prostatitis/Chronic Pelvic Pain Syndrome (CP/CPPS)"|"Mitoxantrone"
"571"|"NCT00372437"|"Canada"|"MethylGene Inc."|"Tumors"|"Gemcitabine"
"572"|"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"573"|"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"574"|"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclosporine"
"575"|"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Etoposide"
"576"|"NCT00372593"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Irinotecan Hydrochloride"
"577"|"NCT00372762"|"Canada"|"Lawson Health Research Institute"|"Heart Failure"|"Bumetanide"
"578"|"NCT00372762"|"Canada"|"Lawson Health Research Institute"|"Heart Failure"|"Furosemide"
"579"|"NCT00372892"|"Canada"|"McMaster University"|"Purpura, Thrombocytopenic, Idiopathic"|"Rituximab"
"580"|"NCT00373113"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Capecitabine"
"581"|"NCT00373113"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Sunitinib malate"
"582"|"NCT00376701"|"Canada"|"Lawson Health Research Institute"|"Age Related Macular Degeneration"|"Avastin"
"583"|"NCT00376701"|"Canada"|"Lawson Health Research Institute"|"Age Related Macular Degeneration"|"Bevacizumab"
"584"|"NCT00376701"|"Canada"|"Lawson Health Research Institute"|"Age Related Macular Degeneration"|"Triamcinolone"
"585"|"NCT00377637"|"Canada"|"Hoffmann-La Roche"|"Lupus Nephritis"|"Azathioprine"
"586"|"NCT00377637"|"Canada"|"Hoffmann-La Roche"|"Lupus Nephritis"|"Cyclophosphamide"
"587"|"NCT00377819"|"Canada"|"Amgen"|"Postmenopausal Osteoporosis"|"Alendronate"
"588"|"NCT00380068"|"Canada"|"Gilead Sciences"|"Pulmonary Hypertension"|"Simvastatin"
"589"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Asparaginase"
"590"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"591"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"592"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Etoposide"
"593"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"594"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Prednisolone"
"595"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"596"|"NCT00381680"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vincristine Sulfate"
"597"|"NCT00382109"|"Canada"|"National Cancer Institute (NCI)"|"Graft Versus Host Disease"|"Melphalan"
"598"|"NCT00382109"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Melphalan"
"599"|"NCT00383422"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Raloxifene"
"600"|"NCT00384046"|"Canada"|"Procter and Gamble"|"Hypoactive Sexual Desire Disorder"|"Testosterone"
"601"|"NCT00384176"|"Canada"|"AstraZeneca"|"Colorectal Cancer"|"Leucovorin"
"602"|"NCT00384176"|"Canada"|"AstraZeneca"|"Colorectal Cancer"|"Oxaliplatin"
"603"|"NCT00385736"|"Canada"|"Abbott"|"Ulcerative Colitis"|"Adalimumab"
"604"|"NCT00391092"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Docetaxel"
"605"|"NCT00391248"|"Canada"|"Ontario Clinical Oncology Group (OCOG)"|"Non-small Cell Lung Cancer"|"Erlotinib"
"606"|"NCT00391872"|"Canada"|"AstraZeneca"|"Acute Coronary Syndrome"|"Tamoxifen"
"607"|"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"608"|"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"609"|"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Imatinib Mesylate"
"610"|"NCT00392327"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"611"|"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"612"|"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"613"|"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Dexamethasone"
"614"|"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Melphalan"
"615"|"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Tamoxifen Citrate"
"616"|"NCT00392886"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"617"|"NCT00393939"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Sunitinib"
"618"|"NCT00393939"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Taxotere"
"619"|"NCT00394277"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Copegus"
"620"|"NCT00394953"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Epoetin alfa"
"621"|"NCT00400595"|"Canada"|"University Health Network, Toronto"|"Peritoneal Dialysis"|"Mecamylamine"
"622"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cisplatin"
"623"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cytarabine"
"624"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Dexamethasone"
"625"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Docetaxel"
"626"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Irinotecan Hydrochloride"
"627"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Memantine Hydrochloride"
"628"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Methotrexate"
"629"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Panitumumab"
"630"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Vinblastine"
"631"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"632"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cytarabine"
"633"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dexamethasone"
"634"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"635"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Irinotecan Hydrochloride"
"636"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"637"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methotrexate"
"638"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Panitumumab"
"639"|"NCT00400946"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"640"|"NCT00402428"|"Canada"|"Human Genome Sciences"|"Chronic Hepatitis C"|"Peginterferon alfa-2a"
"641"|"NCT00403767"|"Canada"|"Bayer"|"Atrial Fibrillation"|"Warfarin"
"642"|"NCT00403767"|"Canada"|"Bayer"|"Stroke"|"Warfarin"
"643"|"NCT00405665"|"Canada"|"The Hospital for Sick Children"|"Cystic Fibrosis"|"Epoetin alfa"
"644"|"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Nicotine Dependence"|"Rifampin"
"645"|"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Psychosis"|"Rifampin"
"646"|"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Schizoaffective Disorder"|"Rifampin"
"647"|"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Schizophrenia"|"Rifampin"
"648"|"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Schizophreniform Disorders"|"Rifampin"
"649"|"NCT00407277"|"Canada"|"Centre for Addiction and Mental Health"|"Smoking"|"Rifampin"
"650"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Bleomycin"
"651"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"652"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"653"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Granisetron hydrochloride"
"654"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Melphalan"
"655"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"656"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Octreotide acetate"
"657"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Thalidomide"
"658"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"659"|"NCT00408005"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vorinostat"
"660"|"NCT00408408"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Cisplatin"
"661"|"NCT00408408"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Docetaxel"
"662"|"NCT00408408"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Fulvestrant"
"663"|"NCT00408629"|"Canada"|"Abbott"|"Ulcerative Colitis"|"Adalimumab"
"664"|"NCT00409682"|"Canada"|"Abbott"|"Crohn's Disease"|"Adalimumab"
"665"|"NCT00409682"|"Canada"|"Abbott"|"Crohn's Disease"|"Topotecan"
"666"|"NCT00410384"|"Canada"|"Human Genome Sciences"|"Systemic Lupus Erythematosus"|"Fludarabine"
"667"|"NCT00410514"|"Canada"|"Astellas Pharma Inc"|"Bladder Outlet Obstruction"|"Pemetrexed"
"668"|"NCT00410514"|"Canada"|"Astellas Pharma Inc"|"Lower Urinary Tract Symptoms"|"Pemetrexed"
"669"|"NCT00411385"|"Canada"|"Human Genome Sciences"|"Chronic Hepatitis C"|"Peginterferon alfa-2a"
"670"|"NCT00412984"|"Canada"|"Bristol-Myers Squibb"|"Atrial Fibrillation"|"Warfarin"
"671"|"NCT00412984"|"Canada"|"Bristol-Myers Squibb"|"Atrial Flutter"|"Warfarin"
"672"|"NCT00413036"|"Canada"|"Celgene Corporation"|"Lymphoma, Non-Hodgkin's"|"Calcitriol"
"673"|"NCT00413036"|"Canada"|"Celgene Corporation"|"Lymphoma, Non-Hodgkin's"|"Lenalidomide"
"674"|"NCT00414609"|"Canada"|"Novartis"|"Myocardial Infarction"|"Aliskiren"
"675"|"NCT00414648"|"Canada"|"Office of Rare Diseases (ORD)"|"Lymphangioleiomyomatosis"|"Sirolimus"
"676"|"NCT00417079"|"Canada"|"Sanofi-Aventis"|"Neoplasms"|"Doxorubicin"
"677"|"NCT00417079"|"Canada"|"Sanofi-Aventis"|"Prostatic Neoplasms"|"Doxorubicin"
"678"|"NCT00417209"|"Canada"|"Sanofi-Aventis"|"Pancreatic Neoplasms"|"IL-2"
"679"|"NCT00418925"|"Canada"|"University Health Network, Toronto"|"Cervical Dystonia"|"Dronabinol"
"680"|"NCT00420784"|"Canada"|"Vertex Pharmaceuticals Incorporated"|"Hepatitis C"|"solifenacin succinate"
"681"|"NCT00423228"|"Canada"|"Debiopharm S.A."|"Moderate Alzheimer's Disease"|"Control"
"682"|"NCT00426777"|"Canada"|"CMX Research"|"Prostate Cancer"|"Risedronate"
"683"|"NCT00428025"|"Canada"|"Queen's University"|"Pancreatitis"|"Diclofenac"
"684"|"NCT00428948"|"Canada"|"Otsuka Pharmaceutical Development & Commercialization, Inc."|"Polycystic Kidney Disease"|"Tolterodine"
"685"|"NCT00429364"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Marfan Syndrome"|"Atenolol"
"686"|"NCT00429364"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Marfan Syndrome"|"Losartan"
"687"|"NCT00430183"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Cyclophosphamide"
"688"|"NCT00430183"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"689"|"NCT00430183"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Fulvestrant"
"690"|"NCT00430495"|"Canada"|"EMD Serono"|"Rheumatoid Arthritis"|"Azacitidine"
"691"|"NCT00431041"|"Canada"|"Astellas Pharma Inc"|"Overactive Bladder"|"Mycophenolate mofetil"
"692"|"NCT00431041"|"Canada"|"Astellas Pharma Inc"|"Overactive Bladder"|"Prednisone"
"693"|"NCT00431353"|"Canada"|"Hoffmann-La Roche"|"Cytomegalovirus Infections"|"Ganciclovir"
"694"|"NCT00435409"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Capecitabine"
"695"|"NCT00435929"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Ritonavir"
"696"|"NCT00438828"|"Canada"|"Sunnybrook Health Sciences Centre"|"Cancer"|"Dexamethasone"
"697"|"NCT00439140"|"Canada"|"Allergan"|"Overactive Bladder"|"Botulinum Toxin Type A"
"698"|"NCT00440245"|"Canada"|"University of Saskatchewan"|"Asthma"|"Salbutamol"
"699"|"NCT00440245"|"Canada"|"University of Saskatchewan"|"COPD"|"Salbutamol"
"700"|"NCT00442702"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Darbepoetin alfa"
"701"|"NCT00443287"|"Canada"|"Sanofi-Aventis"|"Intermittent Claudication"|"Metformin"
"702"|"NCT00444470"|"Canada"|"University Health Network, Toronto"|"Spine Surgery"|"Tranexamic Acid"
"703"|"NCT00446381"|"Canada"|"Lawson Health Research Institute"|"Diabetic Macular Edema"|"Peginterferon alfa-2b"
"704"|"NCT00446381"|"Canada"|"Lawson Health Research Institute"|"Proliferative Diabetic Retinopathy"|"Peginterferon alfa-2b"
"705"|"NCT00450099"|"Canada"|"Samuel Lunenfeld Research Institute, Mount Sinai Hospital"|"Acute Pain"|"Bupivacaine"
"706"|"NCT00451620"|"Canada"|"University of British Columbia"|"Type 2 Diabetes"|"Adapalene"
"707"|"NCT00455000"|"Canada"|"Pfizer"|"Alzheimer's Disease"|"Lapatinib"
"708"|"NCT00456599"|"Canada"|"University of Michigan Cancer Center"|"Pancreatic Cancer"|"Gemcitabine"
"709"|"NCT00456599"|"Canada"|"University of Michigan Cancer Center"|"Pancreatic Cancer"|"Oxaliplatin"
"710"|"NCT00457392"|"Canada"|"Pfizer"|"Carcinoma, Non-Small Cell Lung"|"Sunitinib malate"
"711"|"NCT00457457"|"Canada"|"Pfizer"|"Prostatic Hyperplasia"|"Tamsulosin"
"712"|"NCT00457691"|"Canada"|"Pfizer"|"Colorectal Neoplasms"|"5 Fluorouracil"
"713"|"NCT00457691"|"Canada"|"Pfizer"|"Colorectal Neoplasms"|"Irinotecan"
"714"|"NCT00457691"|"Canada"|"Pfizer"|"Colorectal Neoplasms"|"Sunitinib"
"715"|"NCT00458055"|"Canada"|"McGill University Health Center"|"Coronary Arteriosclerosis"|"Atorvastatin"
"716"|"NCT00458055"|"Canada"|"McGill University Health Center"|"Genetic Diseases, Inborn"|"Atorvastatin"
"717"|"NCT00458055"|"Canada"|"McGill University Health Center"|"Hypoalphalipoproteinemias"|"Atorvastatin"
"718"|"NCT00461292"|"Canada"|"Allergan"|"Overactive Bladder"|"Botulinum Toxin Type A"
"719"|"NCT00462995"|"Canada"|"University Health Network, Toronto"|"Non Small Cell Lung Cancer"|"Erlotinib"
"720"|"NCT00463229"|"Canada"|"McMaster University"|"Stroke"|"Lamotrigine"
"721"|"NCT00464243"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"722"|"NCT00464646"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Breast Cancer"|"Cyclophosphamide"
"723"|"NCT00464646"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Breast Cancer"|"Docetaxel"
"724"|"NCT00465686"|"Canada"|"Bloorview Kids Rehab"|"Cerebral Palsy"|"Aspirin"
"725"|"NCT00468403"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Type 1 Diabetes Mellitus"|"Fluticasone Propionate"
"726"|"NCT00468728"|"Canada"|"Optimer Pharmaceuticals"|"Clostridium Infections"|"Risperidone"
"727"|"NCT00468728"|"Canada"|"Optimer Pharmaceuticals"|"Diarrhea"|"Risperidone"
"728"|"NCT00468936"|"Canada"|"McGill University Health Center"|"Heart Transplant Patients"|"Entecavir"
"729"|"NCT00471146"|"Canada"|"Pfizer"|"Carcinoma, Pancreatic Ductal"|"Trastuzumab"
"730"|"NCT00473590"|"Canada"|"Genentech"|"Multiple Myeloma"|"Bevacizumab"
"731"|"NCT00473590"|"Canada"|"Genentech"|"Multiple Myeloma"|"Paclitaxel"
"732"|"NCT00475670"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Tacrolimus"
"733"|"NCT00475852"|"Canada"|"Scios, Inc."|"Heart Decompensation"|"Nesiritide"
"734"|"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Cyclophosphamide"
"735"|"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Darbepoetin alfa"
"736"|"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Dexamethasone"
"737"|"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Doxorubicin"
"738"|"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Methotrexate"
"739"|"NCT00476190"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Vincristine"
"740"|"NCT00480389"|"Canada"|"University Health Network, Toronto"|"Metastatic Disease"|"Darbepoetin alfa"
"741"|"NCT00480389"|"Canada"|"University Health Network, Toronto"|"Renal Cell Carcinoma"|"Darbepoetin alfa"
"742"|"NCT00482001"|"Canada"|"Sunnybrook Health Sciences Centre"|"Geriatrics"|"Donepezil"
